Stages,Date,Investors,Company,Industry,Investment Amount
Seed,09-06-2021,"YBB
  Foundation,Moonwhale
  Ventures,PAKA,Digital Finance Group,D1 Ventures,LD Capital,Signum Capital,Illusionist Group,Shard Labs,CarbonBlue Innovations",RMRK,"Art, Smart contracts",6000000
Series B,09-06-2021,"VaynerFund,Galaxy Digital,Javelin Venture Partners,Struck Capital,Alumni Ventures Group,01 Advisors",Mythical Games,"Gaming, Collectibles",75000000
Seed,26-05-2021,,Snark.art,Art,1500000
Unknown,09-06-2021,Yield Guild Games,Guild of Guardians,Gaming,3000000
Unknown,14-06-2021,"Framework
  Ventures,Puzzle Ventures,SevenX Ventures,Spark
  Digital Capital,SNZ Holding,Hashkey Capital",Rangers Protocol,"Gaming, Metaverse",
Series A,16-06-2021,"BITKRAFT Ventures,A_capital,Atelier Ventures,Fabric Ventures,Greenfield One,IDEO Colab Ventures,Mechanism Capital,ParaFi Capital,Animoca Brands,Ascensive Assets,Bitscale Capital,Dialectic Capital,Free Company,SevenX Ventures,Sfermion,Dennis Fong,Carlos Rodriguez,Jiho Zirlin,Trung Nguyen,Darren Lau,Mai Fujimoto,Tracheopteryx,Bam Aquino,Ignite Group,RedCave Ventures,CoinGecko Ventures,Morningstar Ventures,Third Prime",Yield Guild Games,Gaming,4000000
Unknown,18-06-2021,"Collab+Currency,Metaverse Ventures (a DCG company),GBV
  Capital,Bitscale Capital,Cluster Capital,ID Theory,AU21 Capital",Decentral Games,"Metaverse, Gaming",5000000
Unknown,03-08-2020,"Charlie
  Lee,Max
  Keiser",Pixelmatic,Gaming,3100000
Seed,30-04-2021,"HappyBlock,CryptoDiffer,R8 Capital,A195 Capital,4SV,AKG Ventures,PrimeBlock Ventures,Amplio Capital,There Exists Ventures,CatcherVC,BenMo Labs,Horizon Capital,Ternary Capital,7 Star Capital",CryptoTycoon,Gaming,
Series A,21-03-2018,"Andreessen Horowitz,Union Square Ventures,Josh Nussbaum,Josh Stech,Mark Pincus,SVAngel,Tyler Gaffney,William Mougayar,Yes VC,Jeff Morris",CryptoKitties,Gaming,12000000
Seed,07-06-2021,"Pantera Capital,Lemniscap,AngelDAO,Josh Hannah,Jack Herrick,Block0",YOLOrekt,"Gaming, Options, Trading",
Unknown,06-07-2017,"Pantera Capital,Blocktower Capital,KR1",FunFair,Gaming,26000000
Seed,17-02-2021,"AU21 Capital,GD10
  Ventures,Genblock Capital,GBV
  Capital,Moonrock Capital,Moonwhale
  Ventures,Morningstar Ventures,Twin Apex Capital",ChainGuardians,Gaming,1200000
Unknown,07-04-2021,"GD10
  Ventures,Moonwhale
  Ventures",Mogul,"Movie, Leisure, Entertainment",
Unknown,28-02-2018,"Pantera Capital,Visary Capital,BlockGround Capital,Ausum Ventures,Kaizen VC,Jove Capital",Codex,"Collectibles, Art",5000000
Seed,01-07-2021,"CoinFund,Dapper Labs,Animoca Brands,Multicoin Capital",Community Gaming,Gaming,2300000
Unknown,01-07-2021,"Coinbase Ventures,Gobi Partners,Liberty
  City Ventures,Token Bay Capital,Blue Pool Capital,Korea Investment Partners,Scopely,Krypital Group",Animoca Brands,"Metaverse, Gaming",50000000
Unknown,13-05-2021,"SNZ Holding,Kingsway Capital,Metapurse,Liberty
  City Ventures,Huobi Capital,Hashkey Capital,RIT Capital Partners,Octava ,LCV Capital Management,Ellerston Capital",Animoca Brands,"Metaverse, Gaming",88900000
Seed,02-07-2021,Coinbase Ventures,Bling,Gaming,
Seed,29-06-2021,"Jez San,Flori Ventures,Equivesto,FunFair Technologies",Award Pool,Gaming,2300000
Strategic,01-04-2021,"Anthony Di Iorio,TLDR Capital,GBIC (Global Blockchain Innovative Capital),Crosschain Capital,Walden Bridge Capital,Alchemist Blockchain,ChainRock",StormX,"Gaming, Cashback",
Seed,17-03-2021,"Spark
  Digital Capital,AU21 Capital,LD Capital,Momentum
  6,AngelOne,Infinity Labs,499
  Block,UNITY Capital,Oasis
  Capital,YBB
  Foundation,Ternary Capital,Incuba
  Alpha Labs,Searchlight Capital,BK Capital,Kardia Ventures,BitMart",GamyFi,"Sports, Gaming",1000000
Strategic,14-01-2021,Magnus Capital,Gourmet Galaxy,"DeFi - NFTs, Gaming, Yield",
Seed,29-01-2021,"Serum,Moonwhale
  Ventures",Star Atlas,"Gaming, Metaverse",
Unknown,17-07-2019,ZBS Capital,Ultra,Gaming,5000000
Seed,12-07-2021,"Polychain Capital,Ethereal Ventures,Coinbase Ventures,Dapper Labs,SamsungNext,Liberty
  City Ventures,A&T Capital,Polaroid,Topps,Quiet Capital,Forerunner Ventures,BBTV Holdings",Nifty's,Art,10000000
Unknown,13-07-2021,Binance Labs,Gala Games,Gaming,
Seed,17-07-2021,"DAO Maker,Magnus Capital,Interchain Ventures,Marshland Capital,Raptor Capital,Peech Capital,Lupa X Capital,X21 Digital,CinchBlock",DinoX,"Gaming, Metaverse",1000000
Pre-Seed,21-07-2021,"CoinFund,Divergence Ventures,MetaCartel Ventures,Focus
  Labs",EthBlockArt,Art,
Series A,21-07-2021,"Andreessen Horowitz,Red Beard Ventures,The Chernin Group",Virtually Human Studio (ZED RUN),Gaming,20000000
