Stages,Date,Investors,Company,Industry,Investment Amount
Seed,24-10-2021,"Animoca Brands,SkyVision Capital,Jsquare,Waterdrip Capital,Hillrise
  Capital,3Commas,MANTRA DAO,Gate.io,IceTea Labs,DuckDAO,Panda Capital,Everse Capital,BitMart,CryptoDiffer,DFG ,MEXC Exchange,NetVRk,Crust Network",PolkaPet,Gaming,3100000
Seed,25-10-2021,"Andreessen Horowitz,Dapper Labs,Draper Associates,CoinFund,Sound Ventures,Collab+Currency,WndrCo,Ashton
  Kutcher,Jon Oringer,Miami Angels,Jose I. Rasco,Marco Giberti,Patrick Finnegan,Alexandra Wilkis Wilson,Chris Adamo,Randi Wolfson,Alexander Taub,Adam Garfield,David Goldberg,Demian Bellumio,Mark Kingdon,Raul Moas,Wifredo Fernandez,Tigre Wenrich,Juha Mikkola,Johanna Mikkola,Simkins LLP,Juan Pablo Cappello,Carlos Domingo,Amanda Goetz,Dan Berger,Andrew Steinwold,Al Tylis,Pareto ",OnChain Studios,Gaming,7500000
Seed,13-10-2021,"Borderless Capital,Sheesha Finance",Zone,Gaming,1600000
Seed,26-10-2021,"Arrington Capital,Konvoy Ventures,Hashed,DeFiance Capital,Signum Capital,Dragonfly Capital,CMT Digital,Alameda
  Research,HyperChain Capital,GBV
  Capital,Delphi Digital,Sfermion,​​Coin98 Ventures,Yield Guild Games,Kyber Network,Fenbushi Capital,Merit Circle,BITKRAFT Ventures,Alex Svanevik,Holly Liu,Kun Gao",SIPHER,Gaming,6800000
Seed,28-10-2021,"Paradigm,Framework
  Ventures",ArenaX Labs,Gaming,5000000
Seed,26-10-2021,"Momentum
  6,Shima Capital,X21 Digital,AU21 Capital,Magnus Capital,BenMo Labs,BX Venture,Banter Capital,Astronaut Capital,ExNetwork Capital,Everse Capital,NFT Technologies,OIG Investment Group,ZBS Capital,BoostX ,HG Ventures",Duelist King,Gaming,1000000
Seed,28-10-2021,"Lightspeed
  Venture Partners,Dragonfly Capital,Multicoin Capital,Alameda
  Research,Animoca Brands,Solana Ventures,Virtual Human Studio,ei ventures",Hawku,Gaming,4000000
Pre-Series A,01-11-2021,"AU21 Capital,Titans Ventures,ZBS Capital,X21 Digital,Maven Capital,Encrypt
  Club,Kyros
  Ventures,ExNetwork Capital",Koi Metaverse,"Gaming, Trading, Liquidity",2600000
Seed,20-10-2021,"Flow Ventures,LD Capital,Block0,Daedalus Angel Syndicate,NEAR Foundation,RedCave Ventures,ArkStream Capital,GFS Ventures,Polygon Studios,OWC",Vorto Gaming,Gaming,4000000
Seed,31-10-2021,"Witek Radomski,Baselayer Capital,Momentum
  6,ArkStream Capital,AU21 Capital,Aussie Capital,Avalon Wealth Club,Boost Innovation Labs,Brotherhood,Basics Capital,Chainstride Capital,CryptoDormFund,CSP DAO,Dutch
  Crypto Investors,ExNetwork Capital,Follow[the]Seed,HG Ventures,Hello Capital,It’s Blockchain,Kangaroo Capital,Moonwhale
  Ventures,OIG Investment Group,Otis Capital,TAG Ventures,Three M Capital,TK Ventures,Starter Capital,SkyBridge 20 Ventures,Vendetta
  Capital,6K Starter,0x Ventures,Shitij Gupta,Shashwat Gupta,AngelONE Capital",Enjinstarter,"Gaming, Launchpad",5000000
Seed,28-10-2021,"Animoca Brands,CMS Holdings,Decision Tree Capital,Enjin,Evernew
  Capital,Infinity Ventures Crypto,Outlier Ventures,Polybius Capital,Zipmex",Ex Populus,"Launchpad, Gaming, AR/VR",3000000
Series B,02-11-2021,"SoftBank,Liberty
  City Ventures,Galaxy
  Interactive,Kingsway Capital,Blue Pool Capital,True Global Ventures,Animoca Brands,SamsungNext,Sterling.VC,SCB 10X,Polygon Studios,LG Technology Ventures,Alpaca VC,Com2uS,Sound Ventures,Stakefish,Graticule Asset Management Asia,Nokota Management,Sun Hung Kai & Co. Limited,Wedbush Capital,Red Beard Ventures,Double Down  ,HodlCo",The Sandbox,Gaming,93000000
Seed,05-11-2021,"Avalanche Foundation,Avalaunch,SkyVision Capital,Not3Lau Capital,Zee
  Prime Capital,Devmons,Wangarian",Crabada,Gaming,600000
Seed,03-11-2021,"Three Arrows Capital,Mechanism Capital,DeFiance Capital,Sino Global Capital,Infinity Ventures Crypto,SkyVision Capital,Yield Guild Games,Merit Circle,Kevin Lin,Thomas Vu,Jihan Wu,Darren Lau,Solana Ecosystem Fund,Mr. Block",Nyan Heroes,Gaming,2500000
Series C,04-11-2021,"Andreessen Horowitz,Binance Labs,FTX,D1 Capital Partners,Redbird Capital Partners,The Raine Group,32 Equity,Mantis VC,Ryan Tedder,OneTeam Partners,WestCap,The Kraft Group,Struck Capital,Signum Growth Capital,Michael Jordan,Michael Gordon,Curtis Polk,Galaxy
  Interactive,01 Advisors,Javelin Partners,Alumni Ventures Group,Fenbushi Capital,Evolution VC Partners",Mythical Games,"Gaming, Collectibles",150000000
Seed,05-11-2021,"Andreessen Horowitz,Galaxy Digital,Initial Capital,Dune Ventures,1Up Ventures,Sisu Game Ventures",Core Loop,Gaming,12000000
Series A,04-11-2021,"Andreessen Horowitz,Sequoia Capital,Jump Capital,Solana Ecosystem Fund,Lightspeed
  Venture Partners,FTX,Pantera Capital",Faraway,"Gaming, Studio",21000000
Seed,02-11-2021,"Sino Global Capital,GSR,SkyVision Capital,Alameda
  Research,CMS Holdings,0x Ventures,Chain Flow Capital,PrimeBlock Ventures,Darkpool Liquidity,Petrock Capital,Solanium Ventures",Phantasia,Gaming,1850000
Series A,02-11-2021,"One Team Partners,Animoca Brands,Alumni Ventures Group,Block.One,FinLab,Global Founders Capital,Michael Ronen,Mike Vorhaus,Michael Terpin",Upland,"Metaverse, Gaming",18000000
Seed,13-06-2019,"EOS VC Fund,FinLab",Upland,"Metaverse, Gaming",2000000
Seed,03-11-2021,"Faraland,DAO Maker,IceTea Labs,Spark
  Digital Capital,X21 Digital,FOMOCraft  Ventures,590 Ventures,Basics Capital,Avstar Capital,FaraStarter,PolkaFoundry,Titans Ventures,Vendetta
  Capital",BEMIL,Gaming,1655000
Series B,12-11-2021,"Sea Capital,Kora Management,Animoca Brands,Overwolf,Playstudios,Warner Music Group,zVentures,Solana Ventures,Griffin Gaming Partners,Andreessen Horowitz,Tiger Global Management,Huuuge Games,Cosmos,Polygon Studios",Forte,Gaming,725000000
Seed,11-11-2021,"LongHash Ventures,OKX,Huobi Capital,Rarestone Capital,Spark
  Digital Capital,Yuanyuzhou Ventures,21DAO Ventures",DigiNation,"Gaming, Metaverse",2400000
Seed,11-11-2021,"DeFiance Capital,Hashed,Pantera Capital,Coinbase Ventures,Alameda
  Research,Animoca Brands,Dapper Labs,Play Ventures,​​Coin98 Ventures,SkyVision Capital",GuildFi,"Metaverse, Gaming",6000000
Seed,11-11-2021,"Solana Ventures,DeFiance Capital,Merit Circle,Arthur Hayes,Darren Lau,Darryl Lau,Alex Svanevik,Oliver Blakey,Pavel Bains,QCP Capital,Dave Waslen,Eric Dadoun",MixMob,Gaming,
Series A,08-11-2021,"Yuanyuzhou Ventures,SpringWind Ventures,Galaxy
  Interactive,Bonfire
  Ventures,Everest Ventures,FBG Capital,Folius Ventures,Hashkey Capital,Hash
  Global,Liang Xinjun,LucidBlue Ventures,Mask Network,PKSHA Capital,SNZ Holding,Zonff Partners",rct AI,"Gaming, AI",10000000
Seed,11-11-2021,"Krypital Group,Kyber Network,Axia8
  Ventures,UFIN,X21 Digital,Clovers Ventures,Onebit Ventures,KiwiGROUP,Alpha Moon Capital,VBC Ventures,BinStarter,LaunchZone ,BSCStation,Krystal,Bixin Ventures",Zuki Moba,Gaming,1400000
Seed,15-11-2021,"Andreessen Horowitz,Mantis VC,Unlock Venture Partners,Advancit Capital,KeenCrypto",MechaFightClub,"Gaming, Metaverse",5000000
Seed,18-11-2021,"Animoca Brands,Spartan Group,Infinity Ventures Crypto,3Commas,Arca,Bitscale Capital,CMS Holdings,CoinGecko Ventures,Fenbushi Capital,GBV
  Capital,Mechanism Capital,Parataxis Capital,Petrock Capital,Sfermion,Stable Node,Yield Guild Games,Aleksander Larsen,Jeff Zirlin,Gabby Dizon,Sebastien Borget,Colin Goltra",BlockchainSpace,"Data, Gaming, Tooling",3750000
Seed,16-11-2021,"AU21 Capital,CoinLab,Traveler Capital,X21 Digital,Lotus Capital,Dreamboat Capital,Alpha Moon Capital,Onebit Ventures,Wildcat Venture,Kylin Ventures,Bic Capital,Basics Capital,Token Suite,TheCodes Fund,IDOResearch Ventures,VNDC,BFRI Capital,BSCStation",Real Realm,Gaming,1200000
Seed,23-11-2021,"Justin Kan,A&T Capital,Hack VC,Animoca Brands,Spartan Group,Santiago R. Santos,Goat Capital,Project Galaxy,iAngels Technologies,Jordan Momtazi,Do Kwon,Luke Wagmana,Elliot Wainman,Alex Becker,Paul Menchov,Kieran Warwick,Longling Capital,Hyperedge Capital,Shima Capital,Kain
  Warwick,KSI",Syn City,"Gaming, Metaverse, Staking, Governance",8000000
Pre-Series A,23-11-2021,"Collab+Currency,Synergis,A&T Capital,Shima Capital,Sfermion,Artist Capital,J17 Capital,Lattice,Vera Li,FutureMoney Advisory",Gama,"Art, Gaming",6000000
Seed,24-11-2021,"Animoca Brands,Drew Austin,FlamingoDAO,Galaxy
  Interactive,Roham Gharegozlou,Keith Grossman,Meltem Demirors,Xsquared Ventures,Polygon,Alex Amsel,Mike Dudas,Christine Moy,Alex Atallah,David Finzer,Gabby Dizon,Tegan Kline,Angie Dalton,Jimmy McNelis,Viktor Bunin,Axel Adelman,Aurel Iancu,Duncan Cock Foster",Blockade Games,"Layer 2, Gaming",5000000
Seed,24-11-2021,"Play Ventures,DeFiance Capital,ParaFi Capital,DAO Maker,Kyros
  Ventures,Peech Capital,Metrix Capital,ReBlock",MetaSoccer,"Gaming, Metaverse",1800000
Series A,24-11-2021,"Animoca Brands,Solana Ventures,Three Arrows Capital,QCP Soteria,Polygon Studios,Hashed,PNYX
  Ventures,MEXC Exchange,LD Capital,Kenetic,Algorand Foundation",Avocado Guild,Gaming,18000000
Seed,25-11-2021,"AU21 Capital,HC Capital,ZBS Capital,Banter Capital,Kryptos,NetVRk,Kyber Network,Kyros
  Ventures,Gains,Good Games Guild,Maven Capital,SMO
  Capital",Happy Land,"Gaming, Metaverse",2970000
Strategic,22-11-2021,"Delphi Digital,QCP Soteria,Framework
  Ventures,DeFi Capital",Polemos,Gaming,2000000
Seed,19-11-2021,GameFi,VerseHub,"Gaming, Metaverse",1000000
Seed,22-11-2021,"Merit Circle,Yield Guild Games,Polemos,YGG SEA,Framework
  Ventures",Fancy Birds,Gaming,
Seed,29-11-2021,"LD Capital,DAO Maker,Signum Capital,Double
  Peak,LongHash Ventures,Gamestarter, DWeb3 Capital",KingdomX,Gaming,2000000
Unknown,27-11-2021,"VBC Ventures,Alpha Moon Capital,OIG Investment Group,Asteroid Ventures,CoinLab,Universe’s Gem,SS Ventures,Milky Way,BinStarter,Kommunitas,LightHouse,Gains Associates,Dreamboat Capital,Hafen Ventures,GemsLab Ventures,Poolz Ventures,AZer Capital,Crypto Fomo,MG Group,AMA Lovers Club,Coin TV Ventures,Token Hunter,DCI Capital,MoonCarl,IBC Group,Defi Invest,Cryptoiz,Automatic Venture Group,Q47 Capital,Gem Capital,Dutch
  Crypto Investors",InPoker,Gaming,
Unknown,25-11-2021,"LD Capital,AU21 Capital,Master
  Ventures,Akatsuki,Pluto
  Digital Assets,Synergia,Scrypt,Argo,Banter Capital,PAID Network,SL2
  Capital,BaseTwo,Unvest,The Club,Guide Education,Akash,Tuition Kit,Alex Becker,Eka Darville,Carl Moon,6K Starter,Yogilab",UniX Gaming,"Gaming, Staking",8000000
Series B,30-11-2021,"SoftBank,HYBE,Mirae Asset Global Investments,Naver Webtoon,JYP",Zepeto,"Gaming, Metaverse",189000000
Seed,02-12-2021,"DeFiance Capital,Merit Circle,LVT Capital,Master
  Ventures,NewTribe Capital,Stakez Capital",PathDAO,"DAO, Gaming, DeFi - NFTs",
Unknown,01-12-2021,"Shima Capital,Tribe Capital,Tess Ventures,Hashkey Capital,Everest Ventures,Republic Realm,Portico,Genblock Capital,Kosmos Ventures,GDP Venture,Muse Builder,Slayton Capital,Synergis,viaBTC Capital,Sanctor Capital,YellowBlocks,Oyster Ventures,FOMOCraft  Ventures,Sandeep Nailwal,Tin Nguyen,Antonny Liem,Alan Seid,George Chu,Kimiko Doan,Chris Gonsalves,Ken Berger,Armando Aguilar,Carmen Feliciano,Chavamon Vinijtrongjit,Parinya Narkprasert,Willow Li,Steven Bryson-Haynes",AAG Ventures,"Gaming, Guild",12500000
Seed,30-11-2021,"Roseon Finance,X21 Digital,Everse Capital,Basics Capital,Magnus Capital,Misfit Venture Partners",Zomfi,Gaming,2600000
Seed,01-12-2021,"Delphi Digital,Jeffrey Zirlin,Aleksander Larsen,Gabby Dizon,Cuy Sheffield,gmoney ,Grayson Allen,Andrew Masanto,Wraya,Capital SB,Ryan Watkins,Tin Nguyen",Loot Squad,Gaming,5000000
Seed,02-12-2021,"Three Arrows Capital,DeFiance Capital,Animoca Brands,Genblock Capital,Alameda
  Research,Solanium Ventures,SkyVision Capital,Jump Capital,KuCoin Labs,Solar Eco Fund,CMS Holdings,Maven Capital,Rhea Fund,a41 Ventures,ZBS Capital,Peech Capital,IceTea Labs,Skynet Trading,Double
  Peak,Rarestone Capital,DAO Maker,Cropperbros Research,Mintable, DWeb3 Capital",Solice,"Metaverse, Gaming, AR/VR",4360000
Unknown,03-12-2021,"Animoca Brands,Outlier Ventures,Sfermion,Lemniscap,Iconium,Double
  Peak,ArkStream Capital,Momentum
  6,LD Capital, DWeb3 Capital,Existential Capital,Taureon Capital,Signal Ventures,Athena Ventures,Gains Associates",Fragcolor,"Gaming, Tooling",2600000
Seed,02-12-2021,"X21 Digital,Faculty
  Capital,Kardia Ventures,Basics Capital,Everse Capital,Poolz Ventures,Oddiyana Ventures,IceTea Labs,Magnus Capital,Moonwhale
  Ventures,Infinity Pad,BSCStation,GameStation,BinStarter,VBC Ventures",CryptoVsZombie,Gaming,1700000
Seed,03-12-2021,"Ascensive Assets,Yield Guild Games,Arca,Mechanism Capital,SkyVision Capital,Eden Holdings,D1 Ventures,Morningstar Ventures,Genblock Capital,MoonBoots Capital,GHAF Capital Partners,Kieran Warwick,Danish Chaudhry ,Richard Ma",Ignite Tournaments,Gaming,3000000
Unknown,04-12-2021,"ExNetwork Capital,Genblock Capital,Solar Eco Fund,Shima Capital,Basics Capital,X21 Digital,SolRazr,Enjinstarter,Magnus Capital,Titans Ventures,VBC Ventures,Master
  Ventures,Good Games Guild,PolRare,R-930 Capital,ZBS Capital,Asteroid Ventures,Alpha Moon Capital,Avstar Capital,IDOResearch Ventures,KiwiGROUP,KV Ventures",RaceFi,"Gaming, AI, Metaverse",2900000
Unknown,30-11-2021,"Modern Capital,Qiming Venture Partners,Tencent,AZDAG,Crypto Pokers,Blue Planet Capital,Crypto Viet Labs,LVT Capital,Avalon Wealth Club,Coincu Ventures,Lotus Capital,Shima Capital,Maven Capital,CRT Capital,Momentum
  6,Andromeda Capital,AU21 Capital,Moonrock Capital,Moonwhale
  Ventures",Popop World,Gaming,5750000
Seed,05-12-2021,"Hashed,Mr. Beast,CinchBlock,Boxmining,Faculty
  Capital,Raptor Capital,CoinUnited Capital,Magnus Capital,Banter Capital,IceTea Labs,ABV",MetaGods,Gaming,3000000
Seed,09-12-2021,"Alameda
  Research,Animoca Brands,Polygon Studios,CoinFund,Republic Realm,SkyVision Capital,Merit Circle,Genblock Capital,Draft Ventures,Liberty
  City Ventures,CMS Holdings",Rainmaker Games,"Gaming, Marketplace",6500000
Seed,08-12-2021,"Hashkey Capital,Bitscale Capital,Eternity Ventures,YouBi Capital,Morningstar Ventures,Kardia Ventures,Formless Capital,Axia8
  Ventures,Polkastarter,Good Games Guild,Mask Network",Whydah,"Gaming, Metaverse",25000000
Series B,09-12-2021,"M12,Griffin Gaming Partners,RRE Ventures,3K VC,Sfermion,The LAO,Warner Bros.,SK Inc.",Palm NFT Studio,"Art, Gaming, Entertainment",27000000
Seed,10-12-2021,"Crypto.com Capital,Animoca Brands,Mindworks Capital,Poloniex,Jump Capital,Digital Currency Group,Hashed,Polygon,Arca,Evernew
  Capital,OKX,SevenX Ventures,LongHash Ventures,Hashkey Capital,Morningstar Ventures,Dialectic Capital,SweeperDAO,Petrock Capital,FBG Capital,Circle,Infinity Ventures Crypto,Yield Guild Games,Bukalapak,Gabby Dizon,Eden Holdings,Beryl Li,Mr. Block,UOB Venture,Yolo Investments,Emfarsis",YGG SEA,"DAO, Gaming, Metaverse",15000000
Seed,08-12-2021,"Yield Guild Games,BITKRAFT Ventures,Delphi Digital,Valor
  Capital Group,Ascensive Assets,Fabric Ventures,Arca,Sebastien Borget,Aleksander Larsen,Jeff Zirlin,Nick Vale,Morningstar Ventures,ParaFi Capital,Volt Capital,Infinity Ventures Crypto,SkyVision Capital,Bitscale Capital,Arrington Capital,RedCave Ventures,Firex Capital,Eden Holdings",BAYZ,"Gaming, Guild, DAO",4000000
Seed,12-12-2021,"Shima Capital,YBB
  Foundation,Gamestarter,ExNetwork Capital,AU21 Capital,X21 Digital,ZBS Capital,LaunchZone ,Kyros
  Ventures,VBC Ventures,Gains,Good Games Labs",SOUNI,Gaming,5000000
Pre-Seed,09-12-2021,Antler,Defiance Games,"Gaming, Yield, Staking, Farming",100000
Unknown,09-12-2021,"Avalon Wealth Club,Herd Capital,Vespertine Capital",Affyn,"Gaming, AR/VR",7000000
Seed,13-12-2021,"1kx,Hashed,PKO Investments,Kingsway Capital,Iterative,Infinity Ventures Crypto,Eden Holdings,Hustle Fund,Kevin Lin,Kun Gao,Holly Liu,Patrick Lee,Jeff Zirlin,Stephen Ellis,Michael Chow,Ray Chan,Yat Siu,Aldrich Tan,Jonathan Shipman",AcadArena,"Metaverse, Funding, Studio, Gaming",3500000
Seed,13-12-2021,"Kyber Network,OKX,Moonrock Capital,GD10
  Ventures,Signum Capital,UG Ventures,RADA Community,AstroV Ventures,Coincu Ventures,RADA",The Parallel,Gaming,4300000
Seed,14-12-2021,"Stacks Accelerator,Animoca Brands,SBX Capital,New Layer Capital,GBV
  Capital,Cointelligence Fund,Fairum Ventures,Gossamer Capital,OIG Investment Group,ExNetwork Capital,Metavest Capital,LucidBlue Ventures,LD Capital, DWeb3 Capital,Champion Hill Ventures,Sfermion,LongHash Ventures,DeltaHub
  Capital,DeSpread,CSP DAO,AlphaCrypto Capital",Moonray,Gaming,3500000
Unknown,14-12-2021,"Sneaky Ventures,Perpetual Protocol,Libra Capital,Gerstenbrot Capital,Fisher8
  Capital,CitizenX Crypto Ventures,Blockwall,Akatsuki,8186 Capital,Yolo Investments",Ex Populus,"Launchpad, Gaming, AR/VR",8500000
Seed,16-12-2021,"BITKRAFT Ventures,Impossible Finance,Animoca Brands,Ascensive Assets,Yield Guild Games,Merit Circle,GuildFi,Ancient8,Avocado Guild,Good Games Guild,​​Coin98 Ventures,Raydium,Lua Ventures,ROK Capital,PANONY,SkyVision Capital,MEXC Exchange,Gabby Dizon,Trung Nguyen,Darren Lau,Cryptopathic,Tascha Punyaneramitdee,Loi Luu,Kevin Lu,Or Perelman",Cyball,Gaming,1800000
Seed,14-12-2021,"JDS Sports,CAA Sports,Framework
  Ventures,IDEO Colab Ventures,Animoca Brands,SkyVision Capital,Paul George,Victory Creative Group,Sebastien Borget,Arthur Madrid",Rumble Kong League,"Gaming, Staking",4500000
Seed,17-12-2021,"Hashed,Andreessen Horowitz,Binance Labs,Sequoia Capital,Blocktower Capital,SkyVision Capital,Yield Guild Games,DeSpread",League of Kingdoms,Gaming,3000000
Seed,09-12-2021,"Chateau Crypto,CSP DAO,Skyman Ventures,ZBS Capital,SL2
  Capital,TheMoonCarl,Lavender Capital,Signal Ventures,OIG Investment Group,MH Ventures,Atesis Capital,Avalon Wealth Club,Everse Capital,X21 Digital,Roseon Finance,Nine2Five Ventures,Kent Capital,Hafen Ventures,FERA Capital,Evan Luthra,Maven Capital,GTS Ventures,Origin Capital,Origin Ventures,Oxbull.Tech,Interstellar Ventures,Whitelist Ventures,AR Ventures,Almora Capital,DCT Capital,MarsDAO,4YF Capital",UpOnly,"Data, Gaming, Analytics",
Seed,21-12-2021,"Shima Capital,AU21 Capital,X21 Digital,Everse Capital,The Ring Boxing Community,GBV
  Capital,Raptor Capital",Crypto Fight Club,Gaming,2775000
Seed,21-12-2021,"GBV
  Capital,Three Arrows Capital,Avalanche Foundation,AVATAR,Avalaunch,A&T Capital,CMS Holdings,COLONY,Keychain Capital,Kyros
  Ventures,Muhabbit Capital,Paramount Capital,TPS Capital",Imperium Empires,"Gaming, Metaverse",2100000
Seed,20-12-2021,"Varys Capital,Shima Capital,Protocol Ventures,Dutch
  Crypto Investors,Coral
  Capital",Cherry,Art,2900000
Seed,20-12-2021,"UFIN,Tienthuattoan Capital,ThuanCapital,OrenCT Ventures,Onus,MoniHub,MEXC Exchange,KiwiGROUP,Krypital Group",Cowboy Snake,Gaming,2100000
Seed,23-12-2021,"Binance Labs,DeFiance Capital,Alameda
  Research,Play Ventures",Cosmic Guild,"DAO, Gaming",1500000
Pre-Seed,21-12-2021,"Ubisoft,Animoca Brands,Sebastien Borget,Arthur Madrid,XAnge,Blockchain Founders Fund,GHAF Capital Partners,Draper
  Goren Holm",Dogami,Gaming,6000000
Seed,23-12-2021,"Binance Labs,Alameda
  Research,Merit Circle,Good Games Guild,BAYZ",Elfin Kingdom,Gaming,5250000
Seed,21-12-2021,"3Commas,AC Capital,Binance Labs,Banter Capital,Bas1s Ventures,Basics Capital,Bigcoin Capital,DAO Maker,Everest Ventures,Everse Capital,ExNetwork Capital,Forward Analytics,Gate.io,GeekCartel,Genblock Capital,Hyperedge Capital,Drops Ventures,Jsquare,Kirin Fund,Krypital Group,KuCoin Labs,LD Capital,Momentum
  6,MarketAcross,NGC Ventures,Redline DAO,Skyman Ventures,SL2
  Capital,Titans Ventures,Unix,Vendetta
  Capital,Winkrypto,YBB
  Foundation,Infinity Ventures Crypto,YGG SEA",StarSharks,Gaming,4800000
Seed,29-12-2021,"Good Games Guild,NGC Ventures,ExNetwork Capital,X21 Digital,FOMOCraft  Ventures,Faculty Group,Master
  Ventures,Maven Capital,ZBS Capital,BullPerks,Titans Ventures,NewTribe Capital,Chain Capital,Infinity Capital,Blockpact Capital,Pluto
  Digital Assets,Kirin Fund,Shima Capital,Synapse Network,Momentum
  6,Magnus Capital,Dutch
  Crypto Investors,Crypto
  Avengers,Alpha Moon Capital,Fairum Ventures,IDOResearch Ventures,Bluewheel Capital,Kent Capital,Gem Capital,GoldenShovel,CryptoMinati Capital,OIG Investment Group",Battle of Guardians,Gaming,4400000
Seed,27-12-2021,"Moonrock Capital,Genblock Capital,AU21 Capital,X21 Digital,Oddiyana Ventures,Magnus Capital,IceTea Labs,InnMind,Metrix Capital,Ellipti,ZBS Capital,AC Capital,Asteroid Ventures,IBC Group,BitCreed Capital",Metarun,Gaming,4000000
Seed,02-01-2022,"Jump Capital,GBV
  Capital,Waterdrip Capital,PANONY,GuildFi,Solar Eco Fund,Athena Ventures,Paribus Ventures,Follow[the]Seed",DarleyGo,Gaming,
Seed,03-01-2022,"Signum Capital,Kyber Network,UOB Venture,Jump Capital,GBV
  Capital,LD Capital,GSG | Great South Gate,Octava ,975 Capital,Arcane Group,Tokocrypto,AU21 Capital,Double
  Peak,NxGen Capital, DWeb3 Capital,Faculty Group,GSR,SL2
  Capital,Mintable",Play It Forward DAO,"Gaming, DAO",6000000
Seed,31-12-2021,"CMCC Global,KuCoin Labs,Gate.io,Forward Analytics,Cluster Capital,Genblock Capital,Apollo
  Capital,0x Ventures,Possible Ventures,Kamal Ravikant,Brian Norgard,Drew Taggart,Alex Pall,Nicolas Berggruen,David Wachsman,Alameda
  Research,Framework
  Ventures,Pantera Capital,Gemini ,Spartan Group,Jump Crypto,IOSG Ventures,Synthetix",Perion,"Gaming, DAO",8600000
Seed,30-12-2021,QGlobe,More Than Gamers,"Gaming, Collectibles",
Seed,28-12-2021,"Dapper Labs,Libertus Capital,Animoca Brands,Folius Ventures",Sportium Fan,"Gaming, Metaverse",
Seed,28-12-2021,"Jason Williams,Brad Mills,Plan B Ventures,Lightning Ventures,Fulgur Ventures",Scarce City,"Art, Marketplace",690000
Seed,30-12-2021,DHVC,Overeality,"Gaming, DAO",5000000
Seed,04-01-2022,"Impossible Finance,DeFi Alliance,Solar Eco Fund,Parsiq,OKX,TomoChain,Good Games Guild,Real Deal Guild,Gamee Studio,Lua Ventures,Kyber Network,Solscan,Kyros
  Ventures,Bigcoin Capital,TK Ventures,ExNetwork Capital,Hub Capital,AU21 Capital,Basics Capital,Formless Capital,Quadhorn Guild",Starbots Game,Gaming,2400000
Seed,07-01-2022,"Electric Capital,IDEO Colab Ventures,Dragonfly Capital,Nascent,Robot Ventures,FlamingoDAO,The LAO,Stani Kulechov,Will Price,Maya Zehavi,Andy Chorlian,Jacob Horne,Joseph Delong,DC Investor,bitcoinPalmer,Sarah Meyohas,R.I.Rtti,Julia Rosenberg,John Sterlacci,0xDEAFBEEF,0x650d,0xmons,Freddie Farmer",JPG,"Art, Marketplace, Curation",3800000
Unknown,01-06-2021,Petrock Capital,Star Atlas,"Gaming, Metaverse",10000000
Seed,10-01-2022,"Fantom Foundation,DFG ,Jsquare,Newave Capital,HyperChain Capital,ZBS Capital,LD Capital,Halvings Capital,Stakely VC,Nodeseeds,Dutch
  Crypto Investors,CoinLab,Gem Capital,Basics Capital,BCA Investments,Octopus Crypto Capital,DEC Ventures,7 O'Clock Capital,Maven Capital,Prometeus Labs,K Venture Capital",Tank Wars Zone,Gaming,2370000
Seed,11-01-2022,"DFG ,Enjin,ExNetwork Capital,Jsquare,Kriptomat,Hafen Ventures,AZer Capital,TAG Ventures,OIG Investment Group,Bluewheel Capital,Chronos
  Ventures,Solr DAO,X21 Digital,Dreamboat Capital,Apollo Meta Fund,Dutch
  Crypto Investors,Enjinstarter",Kingdom Karnage,Gaming,2000000
Unknown,12-01-2022,"DAO Maker,GSR,Altonomy,Enjinstarter,SuperLauncher DAO,MH Ventures,ZBS Capital,TAG Ventures,K300 Ventures,Borderless Capital",Zone,Gaming,2350000
Series A,12-01-2022,"Animoca Brands,Delphi Digital,Gemini ,6th Man Ventures,Jump Crypto,Red Beard Ventures,Spartan Group,NGC Ventures,Sebastien Borget,Lightspeed
  Venture Partners,Talis Capital,Verizon Ventures,Correlation Ventures,Basecamp Fund",Fan Controlled Football,Gaming,40000000
Strategic,14-01-2022,Binance Labs,Nine Chronicles,Gaming,
Strategic,12-01-2022,OKX,KlayCity,Gaming,
Seed,15-03-2022,"Alameda
  Research,Huobi Capital,Crypto.com Capital,DeFi Capital,Avocado Guild,AAG Ventures,Floem Capital,Sea Games Organization,QCP Capital,Petrock Capital,Solana Insiders,ROK Capital,CMS Holdings,Kernel Ventures,Nyan Heroes,Genopets,Arnold Poernomo,Tamar Menteshashvili,Ian Lam,Jack Teoh,NyanQueen Wengie,Solar Eco Fund,Ivan Lam",Eizper Chain,Gaming,2000000
Seed,16-01-2022,"Master
  Ventures,ExNetwork Capital,Polygon,BullPerks,X21 Digital,Roseon Finance,Poolz Ventures,Wemade  ,Sun Hung Kai & Co. Limited,Animoca Brands,Part 1 Capital,Red Kite",I WORLD,Gaming,6800000
Unknown,18-01-2022,"Liberty
  City Ventures,10T Fund,C Ventures,Delta Fund,Gemini ,Gobi Partners,Kingsway Capital,L2 Capital,Mirae Asset Global Investments,Pacific Century Group,Soros
  Fund Management,Wildcat Capital Management,Winklevoss Capital,Smile Group,ParaFi Capital,Senator Investment Group,Sequoia Capital,Stable Asset Management",Animoca Brands,"Metaverse, Gaming",358888888
